title,link,date,summary,description,related_documents,press_release,case_docket,forum,docket_number,initial_filing_date,status,products
VyStar Credit Union,https://www.consumerfinance.gov/enforcement/actions/vystar-credit-union/,2024-10-31T00:00:00,"On October 31, 2024, the Bureau issued an order against Vystar Credit Union.","On October 31, 2024, the Bureau issued an order against VyStar Credit Union (VyStar), a Jacksonville, Florida based credit union with approximately 850,000 members with deposit accounts. VyStar membership is open to, among others, those living or working in the 49 contiguous counties of Central to North Florida, 29 Georgia counties, and past and present military members and their families. In May 2022, VyStar attempted to launch a new online and mobile banking platform with a new and untested provider. The new system crashed upon launch because VyStar brought it online prematurely and failed to establish or follow critical processes to ensure its success. The online and mobile banking platform was taken offline soon after the conversion; and initially when it returned, it lacked key banking services, some of which were not restored for months. The outage and subsequent limited functionality of the banking platform impacted VyStar members in significant ways, including the assessment of fees for failures to make timely payments, restricted access to their funds, and the inability to effectively manage their accounts. These significant problems were foreseeable and avoidable. VyStar failed to have adequate system development, implementation, and release controls in place; maintained policies and procedures that were deficient, out of date, and not followed by senior management; and was deficient in its service provider oversight. VyStar pushed the conversion process through too quickly, despite warning signs from its own development team, to meet an unrealistic deadline, which caused VyStar to take on unnecessary risk of harm to its members. The Bureau found that VyStar’s planning and implementation of the conversion constituted an unfair practice in violation of the Consumer Financial Protection Act of 2010 that caused financial and non-financial harm to VyStar’s members, including fees, costs, and inconvenience. The order requires VyStar to come into compliance with the law, establish a governance committee to ensure proper management of projects involving consumer facing banking systems, ensure that all consumers owed redress have been paid, and pay a $1.5 million civil money penalty.","[{'text': 'Consent Order', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb-vystar-credit-union-consent-order_2024-10.pdf'}, {'text': 'Stipulation', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb-vystar-credit-union-stipulation_2024-10.pdf'}, {'text': 'CFPB Orders VyStar Credit Union to Pay $1.5 Million for Illegally Stranding Consumers from Accessing Their Money and Accounts', 'link': '/about-us/newsroom/cfpb-orders-vystar-credit-union-to-pay-1-5-million-for-illegally-stranding-consumers-from-accessing-their-money-and-accounts/'}, {'text': 'View case filings', 'link': '/administrative-adjudication-proceedings/administrative-adjudication-docket/vystar-credit-union/'}]",https://www.consumerfinance.gov/about-us/newsroom/cfpb-orders-vystar-credit-union-to-pay-1-5-million-for-illegally-stranding-consumers-from-accessing-their-money-and-accounts/,https://www.consumerfinance.gov/administrative-adjudication-proceedings/administrative-adjudication-docket/vystar-credit-union/,['Administrative Proceeding'],2024-CFPB-0013,"OCT 31, 2024",Post Order/Post Judgment,['Deposits']
Goldman Sachs Bank USA,https://www.consumerfinance.gov/enforcement/actions/goldman-sachs-bank-usa/,2024-10-23T00:00:00,"On October 23, 2024, the Bureau issued an order against Goldman Sachs Bank USA.","On October 23, 2024, the Bureau issued an order against Goldman Sachs Bank USA (Goldman). In December 2017, Goldman and Apple Inc. entered an agreement to offer Apple Card, a credit card integrated with Apple software that offers both market-rate APRs and interest-free financing for qualifying Apple products. Goldman agreed to extend the credit offered through Apple Card and to investigate disputes submitted by consumers. Apple designed the consumer-facing interfaces that consumers used to manage Apple Card accounts on Apple devices and developed the creative approach and design of Apple Card advertisements. Despite warnings to Goldman’s board on August 16, 2019 that the Apple Card disputes system was “not fully ready” due to technological issues, Goldman and Apple introduced the Apple card four days later on August 20, 2019. The Bureau found that Goldman violated the Truth in Lending Act and Regulation Z by failing to send acknowledgement notices and resolution letters within the required periods; making adverse reports to consumer reporting agencies regarding amounts disputed in billing error notices prior to completing the requirements for billing error resolution; failing to conduct reasonable investigations for disputes that qualified as billing error notices; and holding consumers liable for amounts at issue in claims of unauthorized use before conducting a reasonable investigation. The Bureau also found that Goldman violated the Consumer Financial Protection Act of 2010 by engaging in unfair acts or practices through its delay in resolving transaction disputes. Separately, in December 2019, Goldman and Apple introduced Apple Card Monthly Installments (ACMI), which allowed Apple Card users to finance the purchase of certain Apple devices directly from Apple through the payment of interest-free monthly installments. The Bureau found that Goldman engaged in deceptive acts or practices by misleading consumers to expect that purchases of Apple devices would automatically be enrolled in ACMI, and by misleading consumers enrolled in ACMI about the application of refunds to Apple Card accounts with both ACMI and non-ACMI balances. The order requires Goldman to pay $19.8 million in redress to consumers and a $45 million civil money penalty and to come into compliance with the law.","[{'text': 'Consent Order', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_goldman-sachs-bank-usa-consent-order_2024-10.pdf'}, {'text': 'Stipulation', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_goldman-sachs-bank-usa-stipulation_2024-10.pdf'}, {'text': 'CFPB Orders Apple and Goldman Sachs to Pay Over $89 Million for Apple Card Failures', 'link': '/about-us/newsroom/cfpb-orders-apple-and-goldman-sachs-to-pay-over-89-million-for-apple-card-failures/'}, {'text': 'View case filings', 'link': '/administrative-adjudication-proceedings/administrative-adjudication-docket/goldman-sachs-bank-usa/'}]",https://www.consumerfinance.gov/about-us/newsroom/cfpb-orders-apple-and-goldman-sachs-to-pay-over-89-million-for-apple-card-failures/,https://www.consumerfinance.gov/administrative-adjudication-proceedings/administrative-adjudication-docket/goldman-sachs-bank-usa/,['Administrative Proceeding'],2024-CFPB-0011,"OCT 23, 2024",Post Order/Post Judgment,"['Credit Cards', 'Furnishing']"
Apple Inc.,https://www.consumerfinance.gov/enforcement/actions/apple-inc/,2024-10-23T00:00:00,"On October 23, 2024, the Bureau issued an order against Apple Inc.","On October 23, 2024, the Bureau issued an order against Apple Inc. In December 2017 Apple and Goldman Sachs Bank USA (Goldman) entered an agreement to offer Apple Card, a credit card integrated with Apple software that offers both market-rate APRs and interest-free financing for qualifying Apple products. Goldman agreed to extend the credit offered through Apple Card and to investigate disputes submitted by consumers. Apple designed the consumer-facing interfaces that consumers used to manage Apple Card accounts on Apple devices, including the “Report an Issue” functionality in the “Wallet” application that allowed consumers to dispute Apple Card transactions using the “Messages” application, and developed the creative approach and design of Apple Card advertisements. Despite warnings to Goldman’s board on August 16, 2019 that the Apple Card disputes system was “not fully ready” due to technological issues, Goldman and Apple introduced the Apple card four days later on August 20, 2019. The Bureau found that Apple engaged in unfair acts or practices by failing to send transaction disputes to Goldman in violation of the CFPA. Separately, in December 2019, Goldman and Apple introduced Apple Card Monthly Installments (ACMI), which allowed Apple Card users to finance the purchase of certain Apple devices directly from Apple through the payment of interest-free monthly installments. The Bureau found that Apple engaged in deceptive acts or practices by misleading consumers to expect that purchases of Apple devices would automatically be enrolled in ACMI. The Bureau also found that Apple engaged in abusive acts or practices through its material interference with consumers’ understanding of ACMI enrollment by not even displaying the ACMI option in certain circumstances. The order requires Apple to pay a $25 million civil money penalty and to come into compliance with the law.","[{'text': 'Consent Order', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_apple-inc-consent-order_2024-10.pdf'}, {'text': 'Stipulation', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_apple-inc-stipulation_2024-10.pdf'}, {'text': 'CFPB Orders Apple and Goldman Sachs to Pay Over $89 Million for Apple Card Failures', 'link': '/about-us/newsroom/cfpb-orders-apple-and-goldman-sachs-to-pay-over-89-million-for-apple-card-failures/'}, {'text': 'View case filings', 'link': '/administrative-adjudication-proceedings/administrative-adjudication-docket/apple-inc/'}]",https://www.consumerfinance.gov/about-us/newsroom/cfpb-orders-apple-and-goldman-sachs-to-pay-over-89-million-for-apple-card-failures/,https://www.consumerfinance.gov/administrative-adjudication-proceedings/administrative-adjudication-docket/apple-inc/,['Administrative Proceeding'],2024-CFPB-0012,"OCT 23, 2024",Post Order/Post Judgment,['Credit Cards']
"Climb Credit, Inc.; Climb Investco, LLC; Climb GS Loan Fund 2018-1, LLC; 1/0 Holdco LLC; and 1/0 Capital LLC",https://www.consumerfinance.gov/enforcement/actions/climb-credit-inc-et-al/,2024-10-17T00:00:00,"On October 17, 2024, the Bureau filed a lawsuit against Climb Credit, Inc.; its wholly owned subsidiary Climb Investco, LLC; its wholly owned sub-subsidiary Climb GS Loan Fund 2018-1, LLC; and the originators, initial owners, and initial operators of these entities, 1/0 Holdco LLC and 1/0 Capital LLC.","On October 17, 2024, the Bureau filed a lawsuit against Climb Credit, Inc.; its wholly owned subsidiary Climb Investco, LLC; its wholly owned sub-subsidiary Climb GS Loan Fund 2018-1, LLC; and the originators, initial owners, and initial operators of these entities, 1/0 Holdco LLC and 1/0 Capital LLC. 1/0 Holdco LLC and 1/0 Capital LLC are headquartered in New York and Climb Credit, Inc. was headquartered in New York during most of the time period relevant to this suit and continues to conduct a significant amount of its operations there. The Bureau alleges these entities (the Climb Enterprise) worked together in online student lending for short-term vocational programs at schools with whom Climb Credit, Inc. has partnered. The Bureau further alleges that, through numerous statements since at least 2017, the Climb Enterprise assured consumers that if a Climb loan was available to fund tuition for a school’s educational program, the consumer could trust that the Climb Enterprise had vetted the quality of that program and school. The Climb Enterprise positioned Climb Credit, Inc. as a trusted intermediary by presenting it as a company that prospective borrowers could rely upon to act in their interests by identifying quality educational programs and schools. In fact, however, as the Bureau alleges, the Climb Enterprise offered loans for many programs and schools that it had not vetted for quality. This practice sought to maximize the Climb Enterprise’s revenue by inducing consumers to take out loans without regard to the actual quality of the programs offered. The Bureau asserts the Climb Enterprise violated the Consumer Financial Protection Act of 2010 (CFPA) by engaging in abusive acts and practices in taking unreasonable advantage of consumers’ reliance on the Climb Enterprise’s representations as to the programs and schools; violated the CFPA through deceptive acts and practices regarding the Climb Enterprise’s vetting of schools and the outcomes for consumers who attended the schools; violated the Truth in Lending Act (TILA) and Regulation Z by failing to disclose finance charges on loan documents and annual percentage rates on advertisements; violated TILA and Regulation Z by using the names, emblems, or logos of certain schools to imply that they endorsed Climb loans; and violated the CFPA by committing acts or practices in violation of TILA and Regulation Z. The Bureau seeks, among other things, injunctive relief to prevent future violations and monetary relief in the form of redress to consumers and the imposition of civil money penalties.","[{'text': 'Complaint', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_climb-credit-complaint_2024-10.pdf'}, {'text': 'CFPB Sues Student Lender Climb Credit and Investment Firm 1/0 for Deceiving Borrowers About Coding Bootcamps and Vocational Programs', 'link': '/about-us/newsroom/cfpb-sues-student-lender-climb-credit-and-investment-firm-1-0-for-deceiving-borrowers-about-coding-bootcamps-and-vocational-programs/'}]",https://www.consumerfinance.gov/about-us/newsroom/cfpb-sues-student-lender-climb-credit-and-investment-firm-1-0-for-deceiving-borrowers-about-coding-bootcamps-and-vocational-programs/,,['Civil Action'],1:24-cv-07868,"OCT 17, 2024",Pending Litigation,['Student Loan Origination']
Fairway Independent Mortgage Corporation,https://www.consumerfinance.gov/enforcement/actions/fairway-independent-mortgage-corporation/,2024-10-15T00:00:00,"On October 15, 2024, the Bureau, together with the United States Department of Justice, filed a complaint and proposed consent order to resolve their allegations against Fairway Independent Mortgage Corporation.","On October 15, 2024, the Bureau, together with the United States Department of Justice (DOJ), filed a complaint and proposed consent order to resolve their allegations against Fairway Independent Mortgage Corporation (Fairway). Fairway is incorporated in Texas and headquartered in Madison, Wisconsin. Fairway acquired mortgage company, MortgageBanc, in 2009, and since 2009, Fairway has operated in the Birmingham-Hoover, AL Metropolitan Statistical Area (Birmingham MSA) under the trade name MortgageBanc. The Bureau’s and DOJ’s joint complaint alleges that Fairway engaged in unlawful discrimination against applicants and prospective applicants, including by redlining majority-Black and high-Black areas in the Birmingham MSA and engaging in acts and practices directed at applicants and prospective applicants that would discourage a reasonable person from making or pursuing an application for credit on the basis of race or color in violation of the Equal Credit Opportunity Act, Regulation B, and the Consumer Financial Protection Act of 2010. DOJ also alleges that Fairway’s conduct violated the Fair Housing Act. If entered by the court, the proposed consent order would require Fairway to invest $7 million in a loan subsidy program under which Fairway must offer home purchase, refinance, and home improvement loans on a more affordable basis than otherwise available for certain residential properties located in majority-Black neighborhoods in the Birmingham MSA. Fairway must also open or acquire a new loan production office or full-service retail office in a majority-Black neighborhood in the Birmingham MSA. Fairway must also spend at least $500,000 on advertising and outreach, at least $250,000 on consumer education, at least $250,000 on partnerships with one or more community-based or governmental organizations, and take other remedial steps, to serve the credit needs of majority-Black neighborhoods in the Birmingham MSA. Fairway must also pay a civil money penalty of $1.9 million.","[{'text': 'Complaint', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_fairway-complaint_2024-10.pdf'}, {'text': 'Proposed Consent Order', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_fairway-proposed-consent-order_2024-10.pdf'}, {'text': 'CFPB and Justice Department Take Action Against Fairway for Redlining Black Neighborhoods in Birmingham, Alabama', 'link': '/about-us/newsroom/cfpb-and-justice-department-take-action-against-fairway-for-redlining-black-neighborhoods-in-birmingham-alabama/'}]",https://www.consumerfinance.gov/about-us/newsroom/cfpb-and-justice-department-take-action-against-fairway-for-redlining-black-neighborhoods-in-birmingham-alabama/,,['Civil Action'],2:24-cv-01405,"OCT 15, 2024",Pending Litigation,"['Fair Lending', 'Mortgage Origination']"
"Ejudicate, Inc., d/b/a Brief",https://www.consumerfinance.gov/enforcement/actions/ejudicate-inc-dba-brief/,2024-10-10T00:00:00,"On October 10, 2024, the Bureau issued an order against Ejudicate, Inc., d/b/a Brief, a company based in Los Angeles, California.","On October 10, 2024, the Bureau issued an order against Ejudicate, Inc., d/b/a Brief, a company based in Los Angeles, California. Ejudicate is a private arbitration company that offers an online dispute resolution platform. In April 2022, Ejudicate commenced arbitration proceedings against consumers who had not agreed to be subjected to Ejudicate’s authority. These arbitration proceedings related to consumers’ alleged default on income share loans that had been extended by Prehired, LLC (Prehired), which operated an online training program. Prehired was the subject of a separate Bureaulaw enforcement action. The Bureau found that Ejudicate engaged in unfair acts and practices in violation of the Consumer Financial Protection Act of 2010 (CFPA) by commencing arbitration proceedings without consumers’ consent. In fact, Ejudicate knew it did not have jurisdiction over Prehired’s claims because none of the income share loans contained an arbitration clause permitting arbitration by Ejudicate. The Bureau also found that Ejudicate committed deceptive acts and practices in violation of the CFPA by misrepresenting Ejudicate’s neutrality, the nature of the arbitration proceedings, and the consequences of consumers’ actions or inactions in the Ejudicate forum. For example, Ejudicate falsely represented itself as a neutral and impartial forum for consumer debt arbitrations and failed to disclose that Ejudicate had financial interests aligned with the creditor, Prehired, which filed the claim against the consumer. Finally, the Bureau found that Ejudicate engaged in unfair acts and practices in violation of the CFPA by unlawfully attempting to bind consumers to Ejudicate’s terms of service and platform rules, which infringed on consumers’ ability to defend themselves against the claims lodged against them. The order permanently bans Ejudicate from arbitrating disputes that concern a consumer financial product or service. The order also prohibits Ejudicate from making misrepresentations to consumers in connection with any consumer financial product or service. Ejudicate must pay a civil money penalty of $1, an amount that accounts for Ejudicate’s inability to pay more based on sworn financial statements that it provided to the Bureau.","[{'text': 'Consent Order', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_ejudicate-inc-consent-order_2024-10.pdf'}, {'text': 'Stipulation', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_ejudicate-inc-stipulation_2024-10.pdf'}, {'text': 'CFPB Takes Action Against Arbitration Platform Ejudicate for Deceiving Student Borrowers', 'link': '/about-us/newsroom/cfpb-takes-action-against-arbitration-platform-ejudicate-for-deceiving-student-borrowers/'}, {'text': 'View case filings', 'link': '/administrative-adjudication-proceedings/administrative-adjudication-docket/ejudicate-inc-dba-brief/'}]",https://www.consumerfinance.gov/about-us/newsroom/cfpb-takes-action-against-arbitration-platform-ejudicate-for-deceiving-student-borrowers/,https://www.consumerfinance.gov/administrative-adjudication-proceedings/administrative-adjudication-docket/ejudicate-inc-dba-brief/,['Administrative Proceeding'],2024-CFPB-0010,"OCT 10, 2024",Post Order/Post Judgment,['Debt Collection']
"Reliant Holdings, Inc. d/b/a Horizon Card Services; and Robert Kane",https://www.consumerfinance.gov/enforcement/actions/reliant-holdings-inc-dba-horizon-card-services-and-robert-kane/,2024-09-13T00:00:00,"On September 13, 2024, the Bureau filed a lawsuit against Reliant Holdings, Inc., d/b/a Horizon Card Services and Robert Kane, its sole shareholder, owner, and chief executive officer.","On September 13, 2024, the Bureau filed a lawsuit against Reliant Holdings, Inc. (Reliant), d/b/a Horizon Card Services and Robert Kane, its sole shareholder, owner, and chief executive officer. Reliant offered consumers nationwide enrollment in a program called the Horizon Card Services membership in exchange for periodic fees. The primary product included with the membership was an unsecured, open-end line of credit, typically starting at $500 or $750. Until at least January 2021, Reliant often charged fees of at least 60% of the credit limit by charging consumers around $24.95 a month or $299.40 annually for the membership. Although marketed as a regular credit card, the line of credit could be used only to purchase goods from Reliant’s online store, the Horizon Outlet. The outlet had a limited selection of overpriced or off-brand goods. Between 2017 and 2021, only 6% of consumers ever used their cards at the outlet. Despite promises that consumers could obtain a full refund in “less than a minute,” Reliant routinely made consumers endure a series of offers before canceling and refused to provide full refunds unless consumers threatened to seek relief from their bank or the Better Business Bureau. The Bureau alleges that Reliant and Kane engaged in deceptive acts and practices in violation of the Consumer Financial Protection Act of 2010 (CFPA) by marketing the membership as a regular credit card that could be used anywhere that credit cards are accepted, when in fact it was a membership program with a credit card that only could be used to purchase goods from the Horizon Outlet; and for falsely promising that consumers could obtain a full refund in “less than a minute.” The Bureau further alleges that Reliant and Kane engaged in abusive acts and practices in violation of the CFPA by taking unreasonable advantage of customers’ inability to cancel membership enrollment and obtain refunds. The Bureau also alleges that until at least January 2021, Reliant violated the Truth in Lending Act and its implementing regulation, Regulation Z, by unlawfully requiring consumers to pay more than 25% of the credit limit during the first year of account opening. The Bureau seeks, among other things, injunctive relief against Reliant and Kane to prevent future violations and monetary relief in the form of redress to consumers and the imposition of civil money penalties.","[{'text': 'Complaint', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_cfpb-v-reliant-holdings-credit-cards-horizon_2024-09.pdf'}, {'text': 'CFPB Sues Horizon Card Services and CEO Robert Kane for Illegally Baiting, Gouging, and Trapping Families in High-Fee Credit Cards', 'link': '/about-us/newsroom/cfpb-sues-horizon-card-services-and-ceo-robert-kane-for-illegally-baiting-gouging-and-trapping-families-in-high-fee-credit-cards/'}]",https://www.consumerfinance.gov/about-us/newsroom/cfpb-sues-horizon-card-services-and-ceo-robert-kane-for-illegally-baiting-gouging-and-trapping-families-in-high-fee-credit-cards/,,['Civil Action'],2:24-cv-01301,"SEP 13, 2024",Pending Litigation,['Credit Cards']
"TD Bank, N.A.",https://www.consumerfinance.gov/enforcement/actions/td-bank-na-furnishing-2024/,2024-09-11T00:00:00,"On September 11, 2024, the Bureau issued an order against TD Bank, N.A., a national bank headquartered in Cherry Hill, New Jersey.","On September 11, 2024, the Bureau issued an order against TD Bank, N.A., a national bank headquartered in Cherry Hill, New Jersey. TD Bank furnishes credit information on consumer credit card accounts by sending monthly data files to consumer reporting agencies. TD Bank also furnishes consumer deposit account information to nationwide specialty consumer reporting agencies. The Bureau found that over several years TD Bank repeatedly furnished to consumer reporting agencies information containing numerous systemic errors and that it knew of many of these inaccuracies for a year or more before fixing them. In addition, the Bureau found that, for years, TD Bank failed to conduct reasonable and timely investigations of consumer disputes, including sometimes by not conducting any investigation at all. When TD Bank furnished inaccurate consumer information, it may have negatively affected consumers’ access to credit. Specifically, the Bureau found that with respect to its credit card accounts, TD Bank violated the Fair Credit Reporting Act (FCRA) and its implementing regulation, Regulation V, by failing to promptly correct and update information it furnished to consumer reporting agencies that it determined was not complete or accurate; failing to accurately report consumers’ participation in COVID-19 accommodations programs pursuant to the CARES Act; failing to provide the FCRA-required date of first delinquency on certain delinquent or charged-off accounts; failing to conduct reasonable and timely investigations of consumer disputes, including sometimes by not conducting any investigation at all; failing to properly notify consumers when deeming a dispute frivolous or irrelevant; and failing to establish and implement reasonable written policies and procedures regarding the information furnished to consumer reporting agencies. The Bureau also found that TD Bank’s failure to investigate consumer disputes and decision to divert resources away from investigating disputes took unreasonable advantage of the inability of consumers to protect their interest in accurate consumer reporting and was therefore abusive in violation of the Consumer Financial Protection Act of 2010. The Bureau further found that TD Bank violated FCRA and Regulation V with respect to consumer deposit accounts by failing to sufficiently maintain and implement written policies and procedures for furnishing and by failing to promptly correct furnished information after it determined the furnished information was fraudulent. The order requires TD Bank to take steps to prevent future violations and to pay $7.76 million in redress to affected consumers and a $20 million civil money penalty.","[{'text': 'Consent Order', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_td-bank-na-consent-order_2024-09.pdf'}, {'text': 'Stipulation', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_td-bank-na-stipulation_2024-09.pdf'}, {'text': 'CFPB Orders TD Bank to Pay $28 Million for Breakdowns that Illegally Tarnished Consumer Credit Reports', 'link': '/about-us/newsroom/cfpb-orders-td-bank-to-pay-28-million-for-breakdowns-that-illegally-tarnished-consumer-credit-reports/'}, {'text': 'View case filings', 'link': '/administrative-adjudication-proceedings/administrative-adjudication-docket/td-bank-na-furnishing-2024/'}]",https://www.consumerfinance.gov/about-us/newsroom/cfpb-orders-td-bank-to-pay-28-million-for-breakdowns-that-illegally-tarnished-consumer-credit-reports/,https://www.consumerfinance.gov/administrative-adjudication-proceedings/administrative-adjudication-docket/td-bank-na-furnishing-2024/,['Administrative Proceeding'],2024-CFPB-0009,"SEP 11, 2024",Post Order/Post Judgment,"['Credit Cards', 'Deposits', 'Furnishing']"
"New Day Financial, LLC",https://www.consumerfinance.gov/enforcement/actions/new-day-financial-2024/,2024-08-29T00:00:00,"On August 29, 2024, the Bureau issued an order against New Day Financial, LLC (NewDay USA), a nonbank direct mortgage lender headquartered in West Palm Beach, Florida, specializing in offering refinance mortgage loans guaranteed by the United States Department of Veterans Affairs.","On August 29, 2024, the Bureau issued an order against New Day Financial, LLC (NewDay USA), a nonbank direct mortgage lender headquartered in West Palm Beach, Florida, specializing in offering mortgage loans guaranteed by the United States Department of Veterans Affairs. Since at least 2015, NewDay USA has provided cash-out refinance loans to consumers, including veterans and active-duty members, many of whom had lower than average credit scores and carry consumer debt. Certain states in which NewDay USA offered its cash-out refinances required lenders to complete a borrower “net benefit” analysis worksheet showing the financial benefit of a refinance to a borrower. The Bureau found that NewDay USA engaged in deceptive acts and practices in violation of the Consumer Financial Protection Act of 2010 by consistently misstating in the net benefit worksheets provided to borrowers in North Carolina and Maine up through 2020, and Minnesota up through 2018, how borrowers’ “previous” monthly mortgage payment would compare to the “new” monthly mortgage payment after refinancing with NewDay USA. The order requires NewDay USA to come into compliance and pay a $2.25 million civil money penalty.","[{'text': 'Consent Order', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_new-day-financial-llc-consent-order_2024-08.pdf'}, {'text': 'Stipulation', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_new-day-financial-llc-stipulation_2024-08.pdf'}, {'text': 'CFPB Orders NewDay USA to Pay $2.25 Million for Illegally Luring Veterans and Military Families into Cash-Out Refinance Loans', 'link': '/about-us/newsroom/cfpb-orders-newday-usa-to-pay-2-25-million-for-illegally-luring-veterans-and-military-families-into-cash-out-refinance-loans/'}, {'text': 'View case filings', 'link': '/administrative-adjudication-proceedings/administrative-adjudication-docket/new-day-financial-2024/'}]",https://www.consumerfinance.gov/about-us/newsroom/cfpb-orders-newday-usa-to-pay-2-25-million-for-illegally-luring-veterans-and-military-families-into-cash-out-refinance-loans/,https://www.consumerfinance.gov/administrative-adjudication-proceedings/administrative-adjudication-docket/new-day-financial-2024/,['Administrative Proceeding'],2024-CFPB-0008,"AUG 29, 2024",Post Order/Post Judgment,['Mortgage Origination']
"Fay Servicing, LLC",https://www.consumerfinance.gov/enforcement/actions/fay-servicing-llc-2024/,2024-08-21T00:00:00,"On August 21, 2024, the Bureau issued an order against Fay Servicing, LLC, a residential mortgage servicer headquartered in Tampa, Florida.","On August 21, 2024, the Bureau issued an order against Fay Servicing, LLC, a residential mortgage servicer headquartered in Tampa, Florida. On June 7, 2017, the Bureaupreviously issued an orderagainst Fay Servicing to address the Bureau’s findings that Fay Servicing failed to provide mortgage borrowers with the protections against foreclosure required by law, kept borrowers in the dark about critical information about the process for applying for foreclosure relief, and moved forward with the foreclosure process while borrowers were actively seeking help to save their homes. In this action, the Bureau found that Fay Servicing violated the Bureau’s 2017 order, Regulation X, which implements the Real Estate Settlement Procedures Act, and the Consumer Financial Protection Act of 2010 (CFPA) by, among other things, taking prohibited foreclosure actions against borrowers engaged in loss mitigation and preventing borrowers from taking advantage of all loss mitigation options available to them. Specifically, the Bureau found that Fay Servicing failed to implement the 2017 Order’s requirements, including ensuring that it did not engage in prohibited foreclosure activity; properly maintaining data about borrowers’ loss mitigation applications; and developing written policies and procedures to ensure compliance. The Bureau also found that Fay Servicing engaged in additional violations of Regulation X by engaging in prohibited foreclosure activity against borrowers entitled to foreclosure protections and failing to maintain adequate policies and procedures. The Bureau also found that Fay Servicing engaged in unfair practices by failing to inform borrowers how their indicated preference for retention or non-retention options, or lack thereof, could limit available loss mitigation options. Finally, the Bureau found that Fay Servicing violated multiple provisions of the Homeowners Protection Act, Regulation X, Regulation Z (which implements the Truth in Lending Act), and the CFPA’s prohibition on unfair and deceptive practices in its administration of private mortgage insurance and assessment of late fees. The order requires Fay Servicing to stop its illegal practices and improve its servicing technology and compliance management systems. The order also puts limitations on compensation to Edward Fay, Fay Servicing’s founder, CEO, and Chairman of the Board, if Edward Fay does not take actions necessary to ensure compliance with the order. The order also requires Fay Servicing to pay $3 million in consumer redress, a $2 million civil money penalty, and to invest $2 million to update its servicing technology and compliance management systems.","[{'text': 'Consent Order', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_fay-servicing-consent-order_2024-08.pdf'}, {'text': 'Stipulation', 'link': 'https://files.consumerfinance.gov/f/documents/cfpb_fay-servicing-stipulation_2024-08.pdf'}, {'text': 'CFPB Takes Action Against Fay Servicing for Illegal Foreclosure Actions and Violating Law Enforcement Order', 'link': '/about-us/newsroom/cfpb-takes-action-against-fay-servicing-for-illegal-foreclosure-actions-and-violating-law-enforcement-order/'}, {'text': 'View case filings', 'link': '/administrative-adjudication-proceedings/administrative-adjudication-docket/fay-servicing-llc-2024/'}]",https://www.consumerfinance.gov/about-us/newsroom/cfpb-takes-action-against-fay-servicing-for-illegal-foreclosure-actions-and-violating-law-enforcement-order/,https://www.consumerfinance.gov/administrative-adjudication-proceedings/administrative-adjudication-docket/fay-servicing-llc-2024/,['Administrative Proceeding'],2024-CFPB-0007,"AUG 21, 2024",Post Order/Post Judgment,['Mortgage Servicing']
