Filename,Top Keywords
OFAC_FRDOC_0001-1843.htm,"ofac, tel, treasury, office foreign, foreign assets, assets control, property, tel assistant, director, blocked"
FHFA-2023-0002-0001.htm,"fhfa, records, advisory, committee, privacy act, advisory committee, privacy, committee subcommittee, advisory committees, committees"
SEC-2023-1323-0001.htm,"beneficial holders, exchange, etf shares, beneficial, holders, holders rule, non compliance, compliance period, etf, commission"
FHFA-2024-0021-0001.htm,"fhfa, misconduct, second proposed, suspension, proposed rule, civil monetary, regulated, monetary penalty, order, immediate suspension"
FDIC-2009-0110-0001.htm,"corporation, september federal, federal deposit, insurance corporation, deposit insurance, meeting, deposit, feldman executive, feldman, robert feldman"
SEC-2024-1166-0001.htm,"rule change, proposed rule, change, commission, sr nasdaq, nasdaq, srnasdaq htm, compliance periods, bid price, nasdaq srnasdaq"
SEC-2024-1300-0001.htm,"hearing, applicants, llp, esq dechert, dechert llp, dechert, edgar, management company, esq, commission"
OCC-2010-0011-0144.htm,"capital, guidelines capital, rin ac, ac, rin, correction, guidelines, cfr rin, docket, treasury office"
OCC-2010-0011-0150.htm,"capital, guidelines capital, rin ac, ac, rin, correction, guidelines, cfr rin, docket, treasury office"
SEC-2023-1322-0001.htm,"occ, nscc, clearing, accord, sr occ, commission, rule change, settlement, common member, change"
FHFA-2023-0003-0001.htm,"community, support, fhfa, loan bank, federal home, home loan, district, bank, com, home"
SEC-2024-1301-0001.htm,"meeting, closed meeting, matters, institution settlement, time date, commission, monday september, closed, place meeting, commissioners"
OFAC_FRDOC_0001-1857.htm,"ofac, tel, treasury, office foreign, foreign assets, assets control, property, tel assistant, director, blocked"
FHFA-2024-0020-0001.htm,"fhfa, mortgage, survey, omitted tnau, tnau, borrowers, www fhfa, fhfa gov, graphic tiff, tiff"
FDIC-2009-0111-0001.htm,"corporation, september federal, federal deposit, insurance corporation, deposit insurance, meeting, deposit, feldman executive, feldman, robert feldman"
SEC-2024-1167-0001.htm,"rule change, proposed rule, nyse, change, commission, srnyse, sr nyse, annual shareholder, requirement hold, end funds"
SEC-2024-0760-0001.htm,"series, expirations, options, options series, monthly options, exchange, short term, strike, term option, commentary rule"
SEC-2024-0506-0001.htm,"exchange, rule change, proposed rule, disapprove, change, make permanent, commission, thursday april, based index, disapprove proposed"
SEC-2024-0996-0001.htm,"ise, sr, miax, proposal, comments sr, bitcoin, gov comments, pearl, cboe, mar"
OCC-2010-0011-0178.htm,"capital, guidelines capital, rin ac, ac, rin, correction, guidelines, cfr rin, docket, treasury office"
FRS-2010-0268-0001.htm,"bank, texas, nonbanking, companies, reserve, permissible, board, engage, reserve bank, federal reserve"
SEC-2024-0507-0001.htm,"finra, sr finra, commission, finra srfinra, srfinra, arbitration procedure, counsel finra, sr, comments sr, action pursuant"
SEC-2024-0997-0001.htm,"ny, cabinet, power, amp volt, amp, volt, density, cabinet power, phase, density cabinet"
TREAS-DO-2008-0001-0003.htm,"cbp, license, cement, cbp form, import license, import, mexican, commerce, entry, export license"
SEC-2024-0761-0001.htm,"series, expirations, options, options series, monthly options, exchange, short term, term option, strike, tuesday thursday"
FRS-2010-0269-0001.htm,"bank, texas, nonbanking, companies, reserve, permissible, board, engage, reserve bank, federal reserve"
SEC-2024-0052-0001.htm,"annuity, hearing, applicants, company, edgar, insurance, commission, annuity contracts, separate account, span"
SEC-2009-1600-0001.htm,"affiliated exchange, nyse, affiliated, arca, nyse arca, corporation, exchange, emergency, emergency condition, systems facilities"
CFPB-2021-0015-0067.htm,"committees, bureau, advisory, consumer, advisory committees, consumer financial, financial, membership, committees apply, gov advisory"
OFAC_FRDOC_0001-1880.htm,"ofac, tel, treasury, office foreign, foreign assets, assets control, property, tel assistant, director, blocked"
SEC-2024-0234-0001.htm,"hours trading, exchange, rule change, change, proposed rule, commission, trading facility, hours, nyse, operative"
SEC-2010-1821-0001.htm,"pilot, pilot program, box, months, expiration months, commission, expiration, rule change, program, exchange"
OCC-2010-0011-0187.htm,"capital, guidelines capital, rin ac, ac, rin, correction, guidelines, cfr rin, docket, treasury office"
FRS-2024-0117-0001.htm,"board, collection, gov apps, apps, www federalreserve, federalreserve gov, federalreserve, omb, bhcs, proposedregs aspx"
FRS-2021-0229-0001.htm,"board, federal reserve, reserve, omb, policies procedures, reverse, policies, reverse mortgage, examination, collection"
SEC-2017-2096-0005.htm,"inter dealer, quotation, broker, dealer, broker dealers, otc, commission, dealers, link, collection"
SEC-2024-0235-0001.htm,"exchange, sub dollar, consolidated volume, dollar, volumes, dollar volumes, sub, consolidated, market, total consolidated"
SEC-2009-1601-0001.htm,"affiliated exchange, nyse, affiliated, arca, nyse arca, corporation, exchange, emergency, emergency condition, systems facilities"
SEC-2024-0053-0001.htm,"sbsds, msbsps, paragraph, stand, types records, rule paragraph, ledgers, memoranda, security based, commission"
FRS-2021-0228-0001.htm,"board, federal reserve, reserve, omb, policies procedures, reverse, policies, reverse mortgage, examination, collection"
OFAC_FRDOC_0001-1894.htm,"ofac, tel, treasury, office foreign, foreign assets, assets control, property, tel assistant, director, blocked"
FRS-2024-0116-0001.htm,"discover, bank, board, illinois, application, application materials, extending credit, bank holding, financial corporation, richmond"
SEC-2010-1820-0001.htm,"pilot, pilot program, box, months, expiration months, commission, expiration, rule change, program, exchange"
CFPB-2021-0015-0073.htm,"committees, bureau, advisory, consumer, advisory committees, consumer financial, financial, membership, committees apply, gov advisory"
FRS-2009-0143-0001.htm,"meeting, board, federal reserve, reserve, meeting board, announcement, federalreserve gov, federalreserve, www federalreserve, access"
SEC-2023-1411-0001.htm,"exchange, commission, rule change, change, proposed rule, citations, update citations, nms, operative, securities rule"
FRS-2009-0325-0001.htm,"meeting, board, federal reserve, reserve, meeting board, announcement, federalreserve gov, federalreserve, www federalreserve, access"
OCC-2006-0035-0077.htm,"capital, guidelines capital, rin ac, ac, rin, correction, guidelines, cfr rin, docket, treasury office"
FRS-2010-0194-0001.htm,"bank, texas, nonbanking, companies, reserve, permissible, board, engage, reserve bank, federal reserve"
FDIC-2022-0093-0001.htm,"primary purpose, agent, exception, depositor, purpose exception, deposits, fdic, custodial, primary, deposit"
SEC-2024-1432-0001.htm,"ether, bitcoin, bitcoin ether, shares, fund, exchange, cme, cf, spot, commodity"
SEC-2023-1410-0001.htm,"phlx, finra, agreement, dual members, dual, common, finra shall, common rules, shall, responsibilities"
FRS-2009-0324-0001.htm,"meeting, board, federal reserve, reserve, meeting board, announcement, federalreserve gov, federalreserve, www federalreserve, access"
FRS-2009-0142-0001.htm,"meeting, board, federal reserve, reserve, meeting board, announcement, federalreserve gov, federalreserve, www federalreserve, access"
OCC-2006-0035-0063.htm,"capital, guidelines capital, rin ac, ac, rin, correction, guidelines, cfr rin, docket, treasury office"
FRS-2010-0195-0001.htm,"bank, texas, nonbanking, companies, reserve, permissible, board, engage, reserve bank, federal reserve"
SEC-2024-1433-0001.htm,"iex, deep, market, market data, order, book, exchange, depth book, depth, iex rule"
FDIC-2022-0092-0001.htm,"primary purpose, agent, exception, depositor, purpose exception, deposits, fdic, custodial, primary, deposit"
TREAS_FRDOC_0001-0457.htm,"repo, covered, financial, reporter, repo market, nprm, category, financial companies, segment, reporters"
SEC-2021-0624-0004.htm,"www reginfo, reginfo gov, reginfo, friday october, securities, collection, asset backed, hours response, exchange, backed"
SEC-2009-1692-0001.htm,"affiliated exchange, nyse, affiliated, arca, nyse arca, corporation, exchange, emergency, emergency condition, systems facilities"
EIB_FRDOC_0001-0610.htm,"import bank, export import, export, exim, import, eib, exim gov, edward, files pub, eib pdf"
