Filename,Top Keywords
OFAC_FRDOC_0001-1843.htm,"colombia, order, secretary, abadia, cali colombia, cali, ramirez, yumbo valle, disdrogas, disdrogas ltda"
FHFA-2023-0002-0001.htm,"internal revenue, comments, regulation, revenue, order, internal, revenue service, conduit, financing, individual list"
SEC-2023-1323-0001.htm,"ben, tunisia, tunisia nationality, italy, nationality tunisia, relief, passport issued, tunisia passport, expires, italy dob"
FHFA-2024-0021-0001.htm,"ben, tunisia, italy, tunisia nationality, nationality tunisia, italy dob, passport issued, expires, pob, tunisia passport"
FDIC-2009-0110-0001.htm,"north, drawbridge, korea, mississippi river, mississippi, north korea, river, table, bridge, navigation"
SEC-2024-1166-0001.htm,"paragraph removing, adding place, regulations, years, adding, removing, place, penalties, place paragraph, amend paragraph"
SEC-2024-1300-0001.htm,"palestinian, palestinian authority, account, new subpart, subpart, authorized, authority books, institution account, account palestinian, debit account"
OCC-2010-0011-0144.htm,"banking institution, institution, banking, apparent, violations, enforcement, procedures, enforcement procedures, compliance program, ofac compliance"
OCC-2010-0011-0150.htm,"collection, comments, burden, estimated, form, request, td, collection information, paperwork, respondents"
SEC-2023-1322-0001.htm,"paraguay, lebanon, barakat, passport paraguay, order, citizen, brazil, alt, ahmad barakat, citizen lebanon"
FHFA-2023-0003-0001.htm,"trackage rights, trackage, rights, bnsf, exemption, order, board, ok, secretary, railroad"
SEC-2024-1301-0001.htm,"epa, fsis, wisconsin, comment, regulations, docket, proposed rule, expedited review, petition, environmental protection"
OFAC_FRDOC_0001-1857.htm,"surety, comments, circular, bonds, bond, estimated, management service, collection, financial management, service"
FHFA-2024-0020-0001.htm,"colombia, union valle, valle colombia, la union, valle, union, la, grajales, ltda, fl united"
FDIC-2009-0111-0001.htm,"colombia, valle, valle colombia, cartago, cartago valle, memorandum, loans, sdnt, cedula, risaralda colombia"
SEC-2024-1167-0001.htm,"colombia, abadia, cali colombia, cali, ramirez, yumbo valle, disdrogas ltda, disdrogas, order, ramirez abadia"
SEC-2024-0760-0001.htm,"internal revenue, revenue, internal, comments, revenue service, omb, hours, estimated, burden, irs"
SEC-2024-0506-0001.htm,"order, secretary, fincen, currency transaction, collection, currency, abdelrazik, security attorney, july, estimated"
SEC-2024-0996-0001.htm,"order, secretary, ya mahdi, ya, mahdi, general relevant, july, weapons, mcfarland, thomas mcfarland"
OCC-2010-0011-0178.htm,"burma, prepenalty, authorized, person, prepenalty notice, aur, license, pursuant, regulations, importation"
