Filename,Top Keywords
OFAC_FRDOC_0001-1843.htm,"financial, financial inclusion, financial products, products services, services, households, inclusion, percent, random, communities"
FHFA-2023-0002-0001.htm,"air, collection, air carrier, information collection, burden, transportation, carrier, veterans, comments, office aviation"
SEC-2023-1323-0001.htm,"irs, insider, ai, transportation, records, risk, insider risk, risk management, including, ai transportation"
FHFA-2024-0021-0001.htm,"records, benefit, district, retirement, health, disclose, health benefits, benefits, insurance, benefit payment"
FDIC-2009-0110-0001.htm,"records, ocre, civil rights, privacy, compliance, equity opportunity, civil, complaints, street, federal resources"
SEC-2024-1166-0001.htm,"medical, medical payment, care, patients, health, payment products, payment, health care, credit, medical credit"
SEC-2024-1300-0001.htm,"collection, freely associated, cpf, territories freely, freely, associated states, states territories, performance, recipients, territories"
OCC-2010-0011-0144.htm,"outbound, records, outbound order, transactions, notification, privacy, privacy act, program notification, outbound investment, notified treasury"
OCC-2010-0011-0150.htm,"terrorism, terrorism risk, insurance, risk insurance, risk, availability affordability, president working, affordability, group financial, working group"
SEC-2023-1322-0001.htm,"records, airport, privacy, air, washington, washington dc, dc, privacy act, comments input, capacity"
FHFA-2023-0003-0001.htm,"lei, reference data, financial, entity, dfa, counterparties, standard, council, identification, firms"
SEC-2024-1301-0001.htm,"bep, reader, impaired, visually impaired, currency, visually, tactile, blind visually, blind, tactile feature"
OFAC_FRDOC_0001-1857.htm,"fio, insurance, records, individuals, privacy, climate related, climate, contact information, request, collection"
FHFA-2024-0020-0001.htm,"hours, insurers, trip, estimated, form trip, terrorism, treasury form, insurance, claims, risk insurance"
FDIC-2009-0111-0001.htm,"inspector, inspector general, records, investigations, office inspector, routine use, routine, states mint, mint, privacy"
SEC-2024-1167-0001.htm,"foreign exchange, swaps, exchange swaps, forwards, exchange, exchange forwards, swaps foreign, cea, swaps forwards, dodd"
SEC-2024-0760-0001.htm,"usc, usc usc, attorney, affected, agenda, treas, legal deadline, cfr visit, specific cfr, visit code"
SEC-2024-0506-0001.htm,"financial, tax, banking, fincen, credit, irs, capital, plan, banking agencies, regulatory plan"
SEC-2024-0996-0001.htm,"counsel, tax, irs, experience, routine use, chief counsel, routine, chief, records, deputy inspector"
OCC-2010-0011-0178.htm,"ssbci, ssbci investing, investing america, sbop, america sbop, investing, collection, ta, applicant, information collection"
FRS-2010-0268-0001.htm,"usc, usc usc, attorney, affected, agenda, treas, legal deadline, levels affected, specific cfr, cfr visit"
OFAC-2007-0020-0001.pdf,"trip, insurance, terrorism, terrorism risk, risk insurance, tria, risk, effectiveness, insurers, trip data"
SEC-2024-0507-0001.htm,"bq, insurance, small insurers, insurers, bl, terrorism, terrorism risk, tic, risk insurance, foreign residents"
SEC-2024-0997-0001.htm,"housing, housing finance, revenue procedure, trackage rights, trackage, finance, comments, commentary address, hud, commentary"
TREAS-DO-2008-0001-0003.htm,"ai, financial, financial institutions, use ai, institutions, use, ai financial, models, risk, risks"
SEC-2024-0761-0001.htm,"tanker, records, iranian tanker, tanker company, national iranian, iran, privacy, iranian, privacy act, washington"
OFAC-2007-0021-0001.pdf,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
FRS-2010-0269-0001.htm,"repo, nccbr, financial, market, securities, transactions, reporter, covered reporter, covered reporters, reporters"
SEC-2024-0052-0001.htm,"word, broker, records, removing word, cbp, alternative storage, customs, adding place, place, removing"
SEC-2009-1600-0001.htm,"sigtarp, database sigtarp, investigative, database, records, individual, investigation, systems records, criminal, systems"
CFPB-2021-0015-0067.htm,"import restrictions, italy, cbp, january, restrictions, cultural, import, mou, archaeological material, archaeological"
OFAC_FRDOC_0001-1880.htm,"import restrictions, italy, cbp, january, restrictions, cultural, import, mou, archaeological material, archaeological"
SEC-2024-0234-0001.htm,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
SEC-2010-1821-0001.htm,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
OCC-2010-0011-0187.htm,"slfrf, funds, recipients, obligation, recipient, subaward, december, deadline, obligation deadline, slfrf funds"
FRS-2024-0117-0001.htm,"mutual, mutual funds, funds, fincen, mutual fund, fund, investment company, financial, company, company act"
FRS-2021-0229-0001.htm,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
SEC-2017-2096-0005.htm,"debit, debit voucher, voucher, bills, dishonored, payment, cbp, ace, debit vouchers, vouchers"
SEC-2024-0235-0001.htm,"import restrictions, italy, cbp, january, restrictions, cultural, import, mou, archaeological material, archaeological"
SEC-2009-1601-0001.htm,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
SEC-2024-0053-0001.htm,"approximate dates, approximate, yemen, arabian, south arabian, revaps, south, include, include limited, limited"
FRS-2021-0228-0001.htm,"approximate date, approximate, pakistan, floral vegetal, geometric, vegetal, motifs, floral, inscriptions, animals"
OFAC_FRDOC_0001-1894.htm,"angkorian, stone, animal, figures, cambodia, decorative, statues, objects, sculpted, architectural"
FRS-2024-0116-0001.htm,"investment, investment security, committee, excepted foreign, foreign states, excepted, established effectively, risks facilitate, states matters, facilitate coordination"
SEC-2010-1820-0001.htm,"courtesy, courtesy notices, paper courtesy, notices, liquidation, courtesy notice, savings, word, abi, removing word"
CFPB-2021-0015-0073.htm,"investment, investment security, committee, excepted foreign, foreign states, excepted, established effectively, risks facilitate, states matters, facilitate coordination"
FRS-2009-0143-0001.htm,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
SEC-2023-1411-0001.htm,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
FRS-2009-0325-0001.htm,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
OCC-2006-0035-0077.htm,"import restrictions, italy, cbp, january, restrictions, cultural, import, mou, archaeological material, archaeological"
FRS-2010-0194-0001.htm,"el salvador, salvador, el, pre hispanic, restrictions, import restrictions, hispanic, cultures, republic el, hispanic cultures"
FDIC-2022-0093-0001.htm,"hhs, state exchanges, plan, state, ehb, exchanges, exchange, state exchange, enrollment, issuers"
SEC-2024-1432-0001.htm,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
SEC-2023-1410-0001.htm,"import restrictions, italy, cbp, january, restrictions, cultural, import, mou, archaeological material, archaeological"
FRS-2009-0324-0001.htm,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
FRS-2009-0142-0001.htm,"tax, cbma, cbp, alcohol, december, imported alcohol, tax relief, relief act, final, reduced tax"
OCC-2006-0035-0063.htm,"sar, fincen, sar information, existence sar, reveal existence, bank, information reveal, institution, director officer, reveal"
FRS-2010-0195-0001.htm,"bond, word, removing word, cbp, surety, amended removing, removing, place, term cbp, rd"
SEC-2024-1433-0001.htm,"cafta dr, cafta, dr, goods, tariff treatment, preferential tariff, apparel, preferential, sec, claim"
FDIC-2022-0092-0001.htm,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
TREAS_FRDOC_0001-0457.htm,"cbp, license, cement, cbp form, import license, import, mexican, form, commerce, entry"
SEC-2021-0624-0004.htm,"investment, investment security, committee, excepted foreign, foreign states, excepted, established effectively, risks facilitate, states matters, facilitate coordination"
SEC-2009-1692-0001.htm,"tax, tax return, return, preparers, continuing education, return preparers, preparer, return preparer, registered tax, education"
